"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0111300",979.104312737037,5.11047556576354,0.348129210047748,14.6798240948026,8.68153751884595e-49,1.92217922204768e-44
"Os10g0517500",7808.68655324466,-2.4400057647276,0.232346531343781,-10.5015803361289,8.49459327606482e-26,9.40393948626756e-22
"Os11g0127800",1124.16409200854,2.17813793439163,0.214827338950255,10.1390165005767,3.70813984290569e-24,2.73673080872583e-20
"Os06g0642500",788.747619089756,1.64003897297463,0.1627826533476,10.0750229784777,7.124413900805e-24,3.94354120444309e-20
"Os12g0124000",1458.46193235613,2.01622266064808,0.206547750400997,9.76153289848826,1.64647475435831e-22,7.29091950724949e-19
"Os12g0267900",756.022738879742,2.48887568645531,0.270447280143548,9.20281278160485,3.48700099579146e-20,1.28676148413031e-16
"Os11g0182900",278.308572828944,4.75221011669272,0.519867067641009,9.14120245826829,6.17617216167124e-20,1.95352325473661e-16
"Os08g0109400",2502.39031282016,1.44052459555177,0.166056851426868,8.67488804691798,4.13957518846104e-18,1.14567917809645e-14
"Os12g0406000",1944.94601541575,1.25407717848996,0.147921771701877,8.4779756493009,2.29145910175382e-17,5.07351959719313e-14
"Os09g0403300",234.46431753293,4.26933118933298,0.503534964865139,8.4787184351268,2.27687947623055e-17,5.07351959719313e-14
"Os03g0277700",229.012756773283,-4.29208982789246,0.513664667469201,-8.35582063496671,6.49793806136354e-17,1.19892372180542e-13
"Os07g0538000",100.989290539399,-5.42909100567133,0.649376632345749,-8.36046561463072,6.24712048745719e-17,1.19892372180542e-13
"Os02g0530100",1150.36592216373,2.42414941781647,0.29448032879785,8.23195704688498,1.84179301303049e-16,2.91279565010772e-13
"Os09g0396900",62.9774366334837,-5.75688891750452,0.702389173219682,-8.19615269853251,2.48203007651287e-16,3.66364186160476e-13
"Os03g0787200",135.582754438403,1.95514347699312,0.241429866344477,8.09818398442668,5.57856576761419e-16,7.32300539472451e-13
"Os05g0589700",195.092129484261,2.70910670399916,0.334572193083445,8.09722612937977,5.62264991239405e-16,7.32300539472451e-13
"Os04g0532400",695.806052919646,1.86425130977095,0.230484046106427,8.08841801098079,6.04446537311675e-16,7.43502821256545e-13
"Os12g0169600",1093.23472140032,1.57254534110782,0.195040365186605,8.06266610300535,7.46482128666177e-16,8.69887411094622e-13
"Os02g0173200",4139.15998196038,-1.13093103565543,0.14041449456922,-8.05423285626623,7.99788312076158e-16,8.85405650883911e-13
"Os07g0209100",820.434678740476,2.35475348112064,0.294023641663317,8.00872157014174,1.15906986792493e-15,1.16649845207845e-12
"Os04g0486950",2942.56129667265,-1.66594985267536,0.212345610392454,-7.84546405078199,4.31355403408336e-15,4.15245216820172e-12
"Os04g0654400",248.528996776379,-1.82322230644405,0.232685531612309,-7.83556370613464,4.66743925844444e-15,4.30590719255076e-12
"Os04g0659800",209.20321237521,-2.13831228656556,0.273974172092697,-7.80479513901801,5.95982759362428e-15,5.27826171001741e-12
